item_id	name	classname	invgfx
40081	奇岩村莊指定傳送卷軸	teleport.Sor_City	474
40082	指定傳送卷軸(歌唱之島)	teleport.Sor_City	474
40083	大洞穴移動卷軸	teleport.Sor_City	1813
40084	狄亞得移動卷軸	teleport.Sor_City	474
40085	說話之島指定傳送卷軸	teleport.Sor_City	474
40086	集體傳送術的卷軸	0	469
40087	對武器施法的卷軸	reel.ScrollEnchantWeapon	468
40088	變形卷軸	sosc.Sosc_Polyitem 1800	472
40089	復活卷軸	Scroll_Resurrection	471
40090	空的魔法卷軸(等級1)	Blank_MagicReel	859
40091	空的魔法卷軸(等級2)	Blank_MagicReel	860
40092	空的魔法卷軸(等級3)	Blank_MagicReel	858
40093	空的魔法卷軸(等級4)	Blank_MagicReel	862
40094	空的魔法卷軸(等級5)	Blank_MagicReel	864
40095	修練者傳送回家的卷軸	teleport.Scroll_GoHome	474
40096	修練者變形卷軸	0	472
40097	修練者解咒卷軸	Scroll_CurseRemoval	470
40098	象牙塔鑑定卷軸	Appraisal_Reel	475
40099	修練者瞬間移動卷軸	teleport.Scroll_Move	473
40100	瞬間移動卷軸	teleport.Scroll_Move	473
40101	指定傳送卷軸(隱藏之谷)	teleport.Sor_City	474
40102	亞丁村莊指定傳送卷軸	teleport.Sor_City	474
40103	歐瑞村莊指定傳送卷軸	teleport.Sor_City	474
40114	妖魔森林指定傳送卷軸	teleport.Sor_City	474
40115	風木村莊指定傳送卷軸	teleport.Sor_City	474
40116	威頓村莊指定傳送卷軸	teleport.Sor_City	474
40117	銀騎士村莊指定傳送卷軸	teleport.Sor_City	474
40118	隱遁者村莊指定傳送卷軸	teleport.Sor_City	1815
40119	解除咀咒的卷軸	Scroll_CurseRemoval	470
40120	抵抗軍村莊指定傳送卷軸	teleport.Sor_City	1814
40121	指定傳送(奇岩商店街)	teleport.SOR_UserSet false	474
40122	肯特村莊指定傳送卷軸	teleport.Sor_City	474
40123	海音村莊指定傳送卷軸	teleport.Sor_City	474
40124	血盟傳送卷軸	teleport.Scroll_Pledge	474
40125	燃柳村莊指定傳送卷軸	teleport.Sor_City	474
40126	鑑定卷軸	Appraisal_Reel	475
40127	對盔甲施法的幻象卷軸	0	928
40128	對武器施法的幻象卷軸	0	929
40129	奇安的卷軸	0	1686
40130	金侃的卷軸	0	1687
40131	甘地圖騰	0	261
40132	那魯加圖騰	0	259
40133	都達瑪拉圖騰	0	260
40134	羅孚圖騰	0	262
40135	阿吐巴圖騰	0	258
40136	三連發煙火	Firework	596
40137	六連發煙火	Firework	598
40138	高級六連發煙火	Firework	597
40139	藍色兩段煙火	Firework	595
40140	藍色仙女棒	Firework	599
40141	藍色煙火	Firework	593
40142	藍色心型煙火	Firework	594
40143	紅色兩段煙火	Firework	595
40144	紅色仙女棒	Firework	599
40145	紅色煙火	Firework	593
40146	紅色心型煙火	Firework	594
40147	綠色兩段圓形煙火	Firework	595
40148	綠色兩段煙火	Firework	595
40149	藍色圓形煙火	Firework	594
40150	綠色仙女棒	Firework	599
40151	淡綠色煙火	Firework	593
40152	綠色煙火	Firework	593
40153	綠色心型煙火	Firework	594
40154	聖誕煙火	Firework	1207
40155	黃色兩段圓形煙火	Firework	595
40156	黃色兩段煙火	Firework	595
40157	黃色圓形煙火	Firework	594
40158	黃色仙女棒	Firework	599
40159	黃色煙火	Firework	593
40160	淡黃色煙火	Firework	593
40161	黃色心型煙火	Firework	594
40162	高崙之心	0	1467
40163	黃金鑰匙	0	59
40164	技術書(衝擊之暈)	0	4225
40165	技術書(增幅防禦)	0	4221
40166	技術書(尖刺盔甲)	0	4223
40167	古老皮袋	0	1643
40168	古老絲袋	0	1645
40169	飛龍之心	0	1462
40273	黑暗精靈水晶(毒性抵抗)	0	4236
40274	黑暗精靈水晶(敏捷提升)	0	4236
40275	黑暗精靈水晶(雙重破壞)	0	4240
40276	黑暗精靈水晶(暗影閃避)	0	4240
40277	黑暗精靈水晶(暗影之牙)	0	4240
40278	黑暗精靈水晶(會心一擊)	0	4240
40279	黑暗精靈水晶(迴避提升)	0	4240
40660	試煉卷軸	0	929
41147	技術書(堅固防護)	0	4221
41148	技術書(反擊屏障)	0	4225
41149	精靈水晶(烈焰之魂)	0	685
41150	精靈水晶(能量激發)	0	685
41151	精靈水晶(水之防護)	0	683
41152	精靈水晶(污濁之水)	0	688
41153	精靈水晶(精準射擊)	0	689
45000	魔法書 (初級治癒術)	0	250
45001	魔法書 (日光術)	0	250
45002	魔法書 (保護罩)	0	250
45003	魔法書 (光箭)	0	250
45004	魔法書 (指定傳送)	0	250
45005	魔法書 (冰箭)	0	250
45006	魔法書 (風刃)	0	250
45007	魔法書 (神聖武器)	0	250
45008	魔法書 (解毒術)	0	250
45009	魔法書 (寒冷戰慄)	0	255
45010	魔法書 (毒咒)	0	255
45011	魔法書 (擬似魔法武器)	0	250
45012	魔法書 (無所遁形術)	0	250
45013	魔法書 (負重強化)	0	250
45014	魔法書 (地獄之牙)	0	250
45015	魔法書 (火箭)	0	250
45016	魔法書 (極光雷電)	0	250
45017	魔法書 (寒冰氣息)	0	250
45018	魔法書 (中級治癒術)	0	250
45019	魔法書 (闇盲咒術)	0	255
45020	魔法書 (鎧甲護持)	0	250
45021	魔法書 (起死回生術)	0	250
45022	魔法書 (能量感測)	0	250
49102	龍騎士書板(龍之護鎧)	0	3035
49103	龍騎士書板(燃燒擊砍)	0	3035
49104	龍騎士書板(護衛毀滅)	0	3035
49105	龍騎士書板(岩漿噴吐)	0	3035
49106	龍騎士書板(覺醒：安塔瑞斯)	0	3035
49107	龍騎士書板(血之渴望)	0	3036
49108	龍騎士書板(屠宰者)	0	3036
49109	龍騎士書板(恐懼無助)	0	3036
49110	龍騎士書板(岩漿之箭)	0	3036
49111	龍騎士書板(覺醒：法利昂)	0	3036
49112	龍騎士書板(致命身軀)	0	3037
49113	龍騎士書板(奪命之雷)	0	3037
49114	龍騎士書板(驚悚死神)	0	3037
49115	龍騎士書板(暴龍之眼)	0	3037
49116	龍騎士書板(覺醒：巴拉卡斯)	0	3037
49117	記憶水晶(鏡像)	0	3008
49118	記憶水晶(混亂)	0	3008
49119	記憶水晶(粉碎能量)	0	3008
40170	魔法書 (燃燒的火球)	0	249
40171	魔法書 (通暢氣脈術)	0	249
40172	魔法書 (壞物術)	0	254
40173	魔法書 (吸血鬼之吻)	0	254
40174	魔法書 (緩速術)	0	249
40175	魔法書 (魔法屏障)	0	249
40176	魔法書 (冥想術)	0	249
40177	魔法書 (岩牢)	0	249
40178	魔法書 (木乃伊的詛咒)	0	255
40179	魔法書 (極道落雷)	0	250
40180	魔法書 (高級治癒術)	0	250
40181	魔法書 (迷魅術)	0	250
40182	魔法書 (聖潔之光)	0	250
40183	魔法書 (冰錐)	0	250
40184	魔法書 (魔力奪取)	0	250
40185	魔法書 (黑闇之影)	0	255
40186	魔法書 (造屍術)	0	255
40187	魔法書 (體魄強健術)	0	250
40188	魔法書 (加速術)	0	250
40189	魔法書 (魔法相消術)	0	250
40190	魔法書 (地裂術)	0	250
40191	魔法書 (烈炎術)	0	250
40192	魔法書 (弱化術)	0	255
40193	魔法書 (祝福魔法武器)	0	250
40194	魔法書 (體力回復術)	0	251
40195	魔法書 (冰矛圍籬)	0	251
40196	魔法書 (召喚術)	0	256
40197	魔法書 (神聖疾走)	0	251
40198	魔法書 (龍捲風)	0	251
40199	魔法書 (強力加速術)	0	251
40200	魔法書 (狂暴術)	0	251
40201	魔法書 (疾病術)	0	256
40202	魔法書 (全部治癒術)	0	251
40203	魔法書 (火牢)	0	251
40204	魔法書 (冰雪暴)	0	256
40205	魔法書 (隱身術)	0	251
40206	魔法書 (返生術)	0	251
40207	魔法書 (震裂術)	0	251
40208	魔法書 (治癒能量風暴)	0	251
40209	魔法書 (魔法封印)	0	251
40210	魔法書 (雷霆風暴)	0	252
40211	魔法書 (沉睡之霧)	0	257
40212	魔法書 (變形術)	0	252
40213	魔法書 (聖結界)	0	252
40214	魔法書 (集體傳送術)	0	252
40215	魔法書 (火風暴)	0	252
40216	魔法書 (藥水霜化術)	0	257
40217	魔法書 (強力無所遁形術)	0	252
40218	魔法書 (創造魔法武器)	0	252
40219	魔法書 (流星雨)	0	252
40280	封印的傲慢之塔傳送符(11F)	0	1164
40281	封印的傲慢之塔傳送符(21F)	0	1164
40282	封印的傲慢之塔傳送符(31F)	0	1164
40283	封印的傲慢之塔傳送符(41F)	0	1164
40284	封印的傲慢之塔傳送符(51F)	0	1164
40285	封印的傲慢之塔傳送符(61F)	0	1164
40286	封印的傲慢之塔傳送符(71F)	0	1164
40287	封印的傲慢之塔傳送符(81F)	0	1164
40288	封印的傲慢之塔傳送符(91F)	0	1164
40289	傲慢之塔傳送符(11F)	teleport.TOI_TeleportAmulet	1036
40290	傲慢之塔傳送符(21F)	teleport.TOI_TeleportAmulet	1036
40291	傲慢之塔傳送符(31F)	teleport.TOI_TeleportAmulet	1036
40292	傲慢之塔傳送符(41F)	teleport.TOI_TeleportAmulet	1036
40293	傲慢之塔傳送符(51F)	teleport.TOI_TeleportAmulet	1036
40294	傲慢之塔傳送符(61F)	teleport.TOI_TeleportAmulet	1036
40295	傲慢之塔傳送符(71F)	teleport.TOI_TeleportAmulet	1036
40296	傲慢之塔傳送符(81F)	teleport.TOI_TeleportAmulet	1036
40297	傲慢之塔傳送符(91F)	teleport.TOI_TeleportAmulet	1036
40298	往說話之島的船票	0	138
40299	往古魯丁的船票	0	138
40300	遺忘之島船票	0	138
40301	海音港口船票	0	138
40302	海賊島船票	0	138
40303	隱藏港口船票	0	138
40304	馬普勒之石	0	544
40305	帕格里奧之石	0	545
40306	伊娃之石	0	543
40307	沙哈之石	0	546
40308	金幣	0	5
40309	賽狗場競賽票	0	143
40310	信紙	0	464
40311	血盟的信紙	0	464
40312	旅館鑰匙	0	59
40313	巴風特監獄的鑰匙	0	2442
40314	項圈	Pet_Collar	487
40315	哨子	Whistle	477
40316	項圈	Pet_Collar	1617
40317	磨刀石	Hone	478
40318	魔法寶石	0	235
40319	精靈玉	0	706
40320	一級黑魔石	0	1061
40321	二級黑魔石	0	1054
40322	三級黑魔石	0	1055
40323	四級黑魔石	0	1056
40324	五級黑魔石	0	1057
40325	2階段魔法骰子	Dices	1210
40326	3階段魔法骰子	Dices	1212
40327	4階段魔法骰子	Dices	1214
40328	6階段魔法骰子	Dices	1216
40329	原住民圖騰	Scroll_CurseRemoval	1763
40330	無限箭筒	0	1762
40331	肯特勇士之劍	0	1650
40332	肯特射手之弓	0	1652
40333	肯特法師魔杖	0	1654
40334	肯特刺客雙刀	0	1656
40335	肯特戰士斧頭	0	1658
40336	肯特徽章長靴	0	1639
40337	肯特徽章盔甲	0	1642
40338	肯特徽章手套	0	1640
40339	肯特徽章盾牌	0	1660
40340	肯特徽章頭盔	0	1641
40341	安塔瑞斯之鱗	0	1284
40342	安塔瑞斯之爪	0	1264
40343	安塔瑞斯之眼	0	1276
40344	安塔瑞斯之血	0	1268
40345	安塔瑞斯之肉	0	1280
40346	安塔瑞斯之心	0	1292
40347	安塔瑞斯之骨	0	1272
40348	安塔瑞斯之牙	0	1288
40349	巴拉卡斯之鱗	0	1283
40350	巴拉卡斯之爪	0	1263
40351	巴拉卡斯之眼	0	1275
40352	巴拉卡斯之血	0	1267
40353	巴拉卡斯之肉	0	1279
40354	巴拉卡斯之心	0	1291
40355	巴拉卡斯之骨	0	1271
40356	巴拉卡斯之牙	0	1287
40357	法利昂之鱗	0	1281
40358	法利昂之爪	0	1261
40359	法利昂之眼	0	1273
40360	法利昂之血	0	1265
40361	法利昂之肉	0	1277
40362	法利昂之心	0	1289
40363	法利昂之骨	0	1269
40364	法利昂之牙	0	1285
40365	林德拜爾之鱗	0	1282
40366	林德拜爾之爪	0	1262
40367	林德拜爾之眼	0	1274
40368	林德拜爾之血	0	1266
40369	林德拜爾之肉	0	1278
40370	林德拜爾之心	0	1290
40371	林德拜爾之骨	0	1270
40372	林德拜爾之牙	0	1286
40373	地圖:大陸全圖	MapR	1138
40374	地圖:說話之島	MapR	479
40375	地圖:古魯丁	MapR	479
40376	地圖:肯特城	MapR	479
40377	地圖:妖魔城堡	MapR	479
40378	地圖:妖精森林	MapR	479
40379	地圖:風木之城	MapR	479
40380	地圖:銀騎士村莊	MapR	479
40381	地圖:龍之谷	MapR	479
40382	地圖:奇岩	MapR	479
40383	地圖:歌唱之島	MapR	479
40384	地圖:隱藏之谷	MapR	479
40385	地圖:海音	MapR	479
40386	地圖:火龍窟	MapR	479
40387	地圖:歐瑞	MapR	479
40388	地圖:亞丁	MapR	479
40389	地圖:沉默洞穴	MapR	479
40390	地圖:海賊島	MapR	479
40391	計算機	0	1606
40393	火龍鱗	0	549
40394	風龍鱗	0	550
40395	水龍鱗	0	547
40396	地龍鱗	0	548
40397	奇美拉之皮(龍)	0	965
40398	奇美拉之皮(山羊)	0	966
40399	奇美拉之皮(獅子)	0	967
40400	奇美拉之皮(蛇)	0	968
40401	詛咒的皮革(火)	0	1177
40402	詛咒的皮革(水)	0	1167
40403	詛咒的皮革(風)	0	1186
40404	詛咒的皮革(地)	0	1175
40405	皮革	0	446
40406	高級皮革	0	455
40407	骨頭碎片	0	444
40408	金屬塊	0	454
40409	不死鳥之心	0	1468
40410	黑暗安特的樹皮	wand.Poly_Magic_Wand	1494
40411	黑暗安特的水果	Fruit_BlackEnt	1495
40412	黑暗安特的樹枝	wand.Twig_Of_Black_Ent	1493
40413	冰之女王之心	0	1469
40414	鍊金術之石	0	1717
40415	遺物袋子	0	1644
40416	詛咒之血	Cursed_Blood	1716
40417	精靈結晶	Elf_Crystallization true	244
40418	墮落的財物	0	1759
40419	巨大莫妮亞蜘蛛絲	0	1807
40420	古代人的咒術書1冊	0	1684
40421	古代人的咒術書2冊	0	1688
40422	古代人的咒術書3冊	0	1691
40423	古代人的咒術書4冊	0	1694
40424	狼皮	0	1802
40425	黑暗棲林者藥水	0	1492
40426	黑暗棲林者戒指	0	1488
40427	黑暗妖精袋子	0	1805
40428	月光之淚	0	1323
40429	大洞穴卷軸碎片	0	1800
40430	大洞穴水晶	0	1811
40431	鼴鼠的皮	0	1505
40432	狄亞得卷軸碎片	0	1800
40433	犰狳之爪	0	1809
40434	犰狳的尾巴	0	1506
40435	深淵之花的花苞	0	1501
40436	深淵之花的根	0	1500
40437	深淵花枝條	0	1803
40438	蝙蝠之牙	0	1801
40439	白金金屬板	0	1426
40440	白金	0	1424
40441	白金原石	0	1425
40442	布拉伯的胃液	0	1530
40443	黑色米索莉	0	1415
40444	黑色米索莉原石	0	1416
40445	黑色米索莉金屬板	0	1414
40446	黑法師戒指	0	1484
40447	黑虎的皮	0	1497
40448	黑虎的爪	0	1499
40449	黑虎的牙	0	1498
40450	黑暗安特的樹枝	0	1808
40451	黑虎之心	0	1804
40452	喚獸師戒指	0	1520
40453	喚獸師長鞭	0	1523
40454	馴獸師戒指	0	1338
40455	藍色布料	0	517
40456	紅色布料	0	519
40457	白色布料	0	520
40458	光明的鱗片	0	1171
40459	毒蠍之皮	0	1806
40460	阿西塔基奧的灰燼	0	591
40461	惡魔的黑色腳鐐	0	1685
40462	惡魔的紅色腳鐐	0	1689
40463	惡魔的藍色腳鐐	0	1692
40464	惡魔的白色腳鐐	0	1695
40465	精靈使戒指	0	1340
40466	龍之心	0	5782
40467	銀	0	1427
40468	銀原石	0	1428
40469	銀金屬板	0	1429
40470	原石碎片	0	1812
40471	精靈碎片	0	242
40472	地獄犬之皮	0	1810
40473	墮落鐮刀	0	1671
40474	墮落之毒	0	1677
40475	墮落首級	0	1661
40476	墮落之手	0	1682
40477	墮落的惡魔書1冊	0	1673
40478	墮落的惡魔書2冊	0	1676
40479	墮落的惡魔書3冊	0	1678
40480	墮落的惡魔書4冊	0	1681
40481	墮落之牙	0	1679
40482	墮落之舌	0	1674
40483	金屬蜈蚣的皮	0	1504
40484	金屬蜈蚣的毒液	0	1502
40485	金屬蜈蚣的牙	0	1503
40486	火山灰	0	1524
40487	黃金金屬板	0	1423
40488	黃金	0	1421
40489	黃金原石	0	1422
40490	黑暗元素石	0	1532
40491	格利芬羽毛	0	861
40492	綠水晶	0	1463
40493	魔法笛子	Magic_Flute	43
40494	純粹的米索莉塊	0	318
40495	米索莉線	0	307
40496	粗糙的米索莉塊	0	320
40497	米索莉金屬板	0	329
40498	風之淚	0	942
40499	蘑菇汁	0	82
40500	紫水晶	0	2064
40501	紅水晶	0	1464
40502	線	0	326
40503	芮克妮的網	0	308
40504	芮克妮的蛻皮	0	306
40505	安特之樹皮	0	311
40506	安特的水果	hp.UserAddHp 30 50 197	126
40507	安特之樹枝	Disintoxicat_Potion	309
40508	奧里哈魯根	0	319
40509	奧里哈魯根金屬板	0	330
40510	污濁安特的樹皮	0	2050
40511	污濁安特的水果	0	2049
40512	污濁安特的樹枝	0	2063
40513	食人巨魔的血	0	531
40514	精靈之淚	0	865
40515	元素石	0	1206
40516	品質綠水晶	0	2048
40517	品質紅水晶	0	1135
40518	品質藍水晶	0	2047
40519	潘的鬃毛	0	314
40520	精靈粉末	0	312
40521	精靈羽翼	teleport.Scroll_GoHome	313
40522	藍水晶	0	1465
40523	白水晶	0	2065
40524	黑色血痕	0	1166
40525	格蘭肯之淚	0	1183
40526	薄金屬板	0	329
40527	鋤頭	0	1535
40528	守護神之袋	0	957
40529	感謝信	0	917
40530	古代王族的鑰匙	0	1021
40531	古代騎士的鑰匙	0	1022
40532	古代法師的鑰匙	0	1024
40533	古代鑰匙(下半部)	0	1004
40534	古代鑰匙(上半部)	0	1005
40535	古代妖精的鑰匙	0	1023
40536	古代惡魔的記載	0	1002
40537	古代的遺物	0	998
40538	食屍鬼的指甲	0	918
40539	食屍鬼的牙齒	0	926
40540	古老的交易文件	0	919
40541	黑暗之星	0	1318
40542	變形怪的血	0	1006
40543	蛇女房間鑰匙	0	59
40544	蛇女之鱗	0	953
40545	倫得之袋	0	958
40546	馬沙之袋	0	957
40547	村民的遺物	0	952
40548	古代亡靈之袋	0	957
40549	炎魔之劍	0	1012
40550	炎魔之眼	0	1013
40551	炎魔之爪	0	1014
40552	炎魔之心	0	1015
40553	布魯迪卡之袋	0	958
40554	秘密名單	0	1041
40555	密室鑰匙	teleport.SecretRoom_Key	59
40556	暗殺名單之袋	0	958
40557	暗殺名單(古魯丁村)	0	1042
40558	暗殺名單(奇岩村)	0	1042
40559	暗殺名單(亞丁城鎮)	0	1042
40560	暗殺名單(風木村)	0	1042
40561	暗殺名單(肯特村)	0	1042
40562	暗殺名單(海音村)	0	1042
40563	暗殺名單(燃柳村)	0	1042
40564	生命的卷軸	0	912
40565	搜索狀	0	914
40566	神秘貝殼	wand.Create_Monster_Magic_Wand	999
40567	神秘水晶球	0	938
40568	神秘的袋子	0	958
40569	神秘魔杖	0	946
40570	艾莉亞的回報	0	973
40571	刺客首領的箱子	0	998
40572	刺客之證	0	1047
40573	靈魂之證	0	987
40574	靈魂之證	0	988
40575	靈魂之證	0	989
40576	靈魂水晶	0	991
40577	靈魂水晶	0	985
40578	靈魂水晶	0	990
40579	不死族的骨頭	0	934
40580	不死族的骨頭碎片	0	935
40581	不死族的鑰匙	0	59
40582	安迪亞之袋	0	1321
40583	安迪亞之信	0	1322
40584	雪怪首級	0	1045
40585	妖魔長老首級	0	1039
40586	王族徽章的碎片	0	992
40587	王族徽章的碎片	0	993
40588	妖精族寶物	0	957
40589	文明的鑰匙	0	1025
40590	楊果里恩之爪	0	139
40591	受詛咒的魔法書	0	909
40592	受詛咒的精靈書	0	940
40593	調查簿的缺頁	0	1800
40594	殭屍鑰匙	0	945
40595	死亡之證	0	1049
40596	死亡誓約	0	1043
40597	破損的調查簿	0	997
40598	康之袋	0	958
40599	塔拉斯的魔法袋	0	957
40600	墮落鑰匙	0	1320
40601	龍龜甲	0	920
40602	藍色長笛	0	1000
40603	蘑菇毒液	0	1046
40604	骷髏鑰匙	0	944
40605	骷髏頭	0	921
40606	混沌鑰匙	quest.DarkElf50Key	1320
40607	返生藥水	0	947
40608	黑騎士的誓約	0	927
40609	甘地妖魔魔法書	0	924
40610	那魯加妖魔魔法書	0	925
40611	都達瑪拉妖魔魔法書	0	923
40612	阿吐巴妖魔魔法書	0	922
40613	黑鑰匙	0	671
40614	礦物收集文件	0	1528
40615	暗影神殿2F鑰匙	teleport.TOI_TeleportAmulet	1991
40616	暗影神殿3F鑰匙	teleport.TOI_TeleportAmulet	1968
40617	水晶球	0	437
40618	土之氣息	0	1928
40619	東方監獄鑰匙	0	1320
40620	第二迷宮鑰匙	0	59
40621	德雷克鑰匙	0	59
40622	飛龍的爪子	0	139
40623	多魯嘉1世傳家之寶	0	1786
40624	多魯嘉2世傳家之寶	0	1787
40625	多魯嘉3世傳家之寶	0	1788
40626	多魯嘉4世傳家之寶	0	1789
40627	多魯嘉5世傳家之寶	0	1790
40628	多魯嘉6世傳家之寶	0	1791
40629	多魯嘉7世傳家之寶	0	1792
40630	迪哥的舊日記	extra.ItemUse	1868
40631	萊斯塔的戒指	0	1028
40632	雷奧納的袋子	0	958
40633	蜥蜴人的報告	0	1869
40634	蜥蜴人的寶物	0	1870
40635	法令軍團印記	0	1938
40636	法令軍王印記盒	0	1939
40637	瑪勒巴的信	0	917
40638	魔獸軍團印記	0	1942
40639	魔獸軍王印記盒	0	1941
40640	冥法軍王印記盒	0	1937
40641	說話卷軸	0	1760
40642	冥法軍團印記	0	1938
40643	水之氣息	0	1924
40644	迷宮構造圖	0	1138
40645	風之氣息	0	1926
40646	蜥蜴的角	0	56
40647	藏寶圖碎片	0	1780
40648	生鏽的刺客之劍	0	1048
40649	東北方監獄鑰匙	0	1320
40650	北方監獄鑰匙	0	1320
40651	火之氣息	0	1922
40652	燃燒的皮	0	1931
40653	紅鑰匙	0	672
40654	第三迷宮鑰匙	0	59
40655	水晶之牙	0	1933
40656	試煉之劍A	0	932
40657	試煉之劍B	0	932
40658	試煉之劍C	0	932
40659	試煉之劍D	0	932
49120	記憶水晶(幻覺：歐吉)	0	3008
40661	兒子的遺骸	0	958
40662	兒子的肖像畫	0	1781
40663	兒子的信	extra.ItemUse	917
40664	阿拉斯的護身符	0	604
40665	阿拉斯的信	0	917
40666	無法得知的傳家之寶	0	1786
40667	暗殺軍團印記	0	1944
40668	暗殺軍王印記盒	0	1943
40669	火焰之影肋骨	0	1998
40670	火焰之影尾巴	0	1999
40671	火焰之影骨翼	0	2001
40672	火焰之影脊椎	0	1978
40673	火焰之影首級	0	1992
40674	火焰之影指甲	0	1996
40675	黑暗礦石	0	1934
40676	闇之氣息	0	1930
40677	黑暗礦石鑄塊	0	1935
40678	靈魂石碎片	0	1997
40679	污濁的金甲	0	2061
40680	污濁斗篷	0	2055
40681	污濁的鋼靴	0	2059
40682	污濁的腕甲	0	2053
40683	污濁的頭盔	0	2057
40684	污濁的弓	0	2051
40685	未磨光的雕像	0	1539
40686	完成品的雕像	0	1541
40687	歐姆的袋子	Pouch_Oum	958
40688	未上漆的雕像	0	1540
40689	未精雕的雕像	0	1537
40690	未修補的雕像	0	1538
40691	半成品的雕像	0	1536
40692	完成的藏寶圖	0	479
40693	遠征隊金甲	0	2062
40694	遠征隊斗篷	0	2056
40695	遠征隊鋼靴	0	2060
40696	遠征隊的遺物	0	957
40697	遠征隊腕甲	0	2054
40698	遠征隊頭盔	0	2058
40699	遠征隊弓	0	2052
40700	銀笛	0	43
40701	小藏寶圖	0	1780
40702	小袋子	0	958
40703	心靈支配石	0	1936
40704	死亡尾骨	0	1974
40705	死亡巨斧	0	1956
40706	死亡戰錘	0	1972
40707	死亡首級	0	1968
40708	死亡長矛	0	1971
40709	死亡之劍	0	1975
40710	朋友的袋子	0	958
40711	卡得穆斯項鍊	0	304
40712	卡立普的高級袋子	0	958
40713	卡立普的袋子	0	958
40714	藍尾蜥蜴之皮	0	1782
40715	皮爾斯的禮物	0	958
40716	爺爺的寶物	0	238
40717	弄縐的情書	0	1867
40718	血石碎片	0	2071
40719	混沌首級	0	1991
40720	黑暗之翼	0	1932
40721	巨大南瓜種子	0	933
40722	金南瓜	Golden_Pumpkin	943
40723	銀南瓜	0	955
